month,BRW_monthly (updated),date_fomc,BRW_fomc (updated),Month,BRW_monthly,date_fomc,BRW_fomc,BRW_c,
2018m8,-0.0146746,,,2018m8,-0.0148822,,,-0.6961898,
2018m9,0.0064654,,,2018m9,0.0065724,,,-0.6896174,
2018m10,0,,,2018m10,0,,,-0.6896174,
2018m11,0.0215585,,,2018m11,0.0217711,,,-0.6678463,
2018m12,0.0365571,,,2018m12,0.0369818,,,-0.6308645,
2019m1,-0.0540896,,,2019m1,-0.0546792,,,-0.6855437,
2019m2,0,,,2019m2,0,,,-0.6855437,
2019m3,-0.0226554,,,2019m3,-0.0228529,,,-0.7083966,
2019m4,0,,,2019m4,0,,,-0.7083966,
2019m5,0.0406881,,,2019m5,0.0411347,,,-0.6672619,
2019m6,-0.0511383,,,2019m6,-0.0517478,,,-0.7190097,
2019m7,0.0572017,,,2019m7,0.0578817,,,-0.661128,
2019m8,0,,,2019m8,0,,,-0.661128,
2019m9,0.0373536,,,2019m9,0.0377678,,,-0.6233602,
2019m10,0.02513,,,,,,,,
2019m11,0,,,,,,,,
2019m12,-0.003236,,,,,,,,
2020m1,0.0027958,,,,,,,,
2020m2,0,,,,,,,,
2020m3,0,,,,,,,,
2020m4,-0.0394143,,,,,,,,
2020m5,0,,,,,,,,
2020m6,0.002327,,,,,,,,
2020m7,-0.0299658,,,,,,,,
2020m8,0,,,,,,,,
2020m9,-0.0131933,,,,,,,,
2020m10,0,,,,,,,,
2020m11,0.0158562,,,,,,,,
2020m12,-0.0069948,,,,,,,,
