Row Labels,Sum of Total Exports Value ($US),,,
2002,51349139470,,,
2003,53005235332,,,
2004,60626294786,,,
2005,72337213274,,,
2006,84269350518,,,
2007,97792499810,,,
2008,1.07E+11,,,
2009,83252221398,,,
2010,1.00E+11,,,
2011,1.30E+11,,,
2012,1.36E+11,,,
2013,1.32E+11,,,
2014,1.37E+11,,,
2015,1.27E+11,,,
2016,1.20E+11,,,
2017,1.31E+11,,,
2018,1.31E+11,,,
2019,1.20E+11,,,
2020,1.07E+11,,,
2021 through July,74260172602,,,
Indiana,1.16E+12,,,
2002,29911869030,,,
2003,32936085584,,,
2004,38424827528,,,
2005,43187625800,,,
2006,45332535302,,,
2007,51912692074,,,
2008,53004583020,,,
2009,45814734976,,,
2010,57528520272,,,
2011,64664109962,,,
2012,68797733886,,,
2013,68432038662,,,
2014,71178101392,,,
2015,67638285088,,,
2016,69306257858,,,
2017,75493202940,,,
2018,78640852466,,,
2019,78693008806,,,
2020,70680814480,,,
2021 through July,47397016970,,,
Iowa,4.39E+11,,,
2002,9508071214,,,
2003,10476750390,,,
2004,12829324008,,,
2005,14745609344,,,
2006,16856407040,,,
2007,19311467232,,,
2008,24249262480,,,
2009,18084251128,,,
2010,21759525854,,,
2011,26633041424,,,
2012,29244477220,,,
2013,27806745778,,,
2014,30223068282,,,
2015,26476720550,,,
2016,24660694736,,,
2017,26844703166,,,
2018,28740758606,,,
2019,26450142336,,,
2020,25278703656,,,
2021 through July,18980015976,,,
Kansas,3.84E+11,,,
2002,9977108752,,,
2003,9090610084,,,
2004,9879261364,,,
2005,13472039862,,,
2006,17272795698,,,
2007,20554954052,,,
2008,25027952012,,,
2009,17833840752,,,
2010,19799360220,,,
2011,23246791518,,,
2012,23367875260,,,
2013,24918347930,,,
2014,24043724884,,,
2015,21378967646,,,
2016,20309192236,,,
2017,22488155162,,,
2018,23163536640,,,
2019,23326352640,,,
2020,20815035176,,,
2021 through July,14235902342,,,
Kentucky,8.62E+11,,,
2002,21360277718,,,
2003,21458180700,,,
2004,26110095730,,,
2005,29921207380,,,
2006,34508756956,,,
2007,39304191712,,,
2008,38241171118,,,
2009,35299536606,,,
2010,38692429206,,,
2011,40237757876,,,
2012,44263100648,,,
2013,50823430096,,,
2014,55514783628,,,
2015,55273205188,,,
2016,58384335772,,,
2017,61837631256,,,
2018,63615217494,,,
2019,66014637918,,,
2020,49059397208,,,
2021 through July,32365352594,,,
Louisiana,1.75E+12,,,
2002,35166187952,,,
2003,36664389652,,,
2004,39840533986,,,
2005,38807244162,,,
2006,46953635978,,,
2007,60637822290,,,
2008,83816272992,,,
2009,65232902904,,,
2010,82741380882,,,
2011,1.10E+11,,,
2012,1.26E+11,,,
2013,1.26E+11,,,
2014,1.30E+11,,,
2015,97357277020,,,
2016,96734076558,,,
2017,1.14E+11,,,
2018,1.34E+11,,,
2019,1.28E+11,,,
2020,1.17E+11,,,
2021 through July,83880749676,,,
Maine,1.05E+11,,,
2002,3959990888,,,
2003,4400041618,,,
2004,4863590538,,,
2005,4664157300,,,
2006,5283010402,,,
2007,5500652694,,,
2008,6032790942,,,
2009,4462285004,,,
2010,6324373390,,,
2011,6844185218,,,
2012,6095752152,,,
2013,5373510360,,,
2014,5622120982,,,
2015,5523537740,,,
2016,5726451966,,,
2017,5424708066,,,
2018,5672689670,,,
2019,5448063480,,,
2020,4678824220,,,
2021 through July,3011135788,,,
Maryland,3.84E+11,,,
2002,8953545970,,,
2003,9842636960,,,
2004,11513629056,,,
2005,14276722448,,,
2006,15200943976,,,
2007,17897273658,,,
2008,22766101004,,,
2009,18450752846,,,
2010,20334951478,,,
2011,21725112304,,,
2012,23490252350,,,
2013,23493435966,,,
2014,24456561428,,,
2015,20104193622,,,
2016,19311977390,,,
2017,18634359860,,,
2018,24209137042,,,
2019,26101947186,,,
2020,25372879580,,,
2021 through July,18015754088,,,
Massachusetts,9.78E+11,,,
2002,33410213646,,,
2003,37303538466,,,
2004,43798209986,,,
2005,44103216326,,,
2006,48113936000,,,
2007,50702879192,,,
2008,56738390610,,,
2009,47186554558,,,
2010,52609764070,,,
2011,55741953764,,,
2012,51227897516,,,
2013,53624031436,,,
2014,54768347908,,,
2015,50578588744,,,
2016,51786050862,,,
2017,55122430312,,,
2018,54319462364,,,
2019,52264493348,,,
2020,49786047798,,,
2021 through July,34483296798,,,
Michigan,1.86E+12,,,
2002,67938134834,,,
2003,66977991056,,,
2004,71898714402,,,
2005,75697254188,,,
2006,80999584742,,,
2007,89110698262,,,
2008,90271012690,,,
2009,65310667768,,,
2010,89702677518,,,
2011,1.02E+11,,,
2012,1.14E+11,,,
2013,1.19E+11,,,
2014,1.15E+11,,,
2015,1.08E+11,,,
2016,1.10E+11,,,
2017,1.20E+11,,,
2018,1.16E+11,,,
2019,1.12E+11,,,
2020,88734011822,,,
2021 through July,60621237532,,,
Minnesota,7.18E+11,,,
2002,20796761430,,,
2003,22534775522,,,
2004,25395635892,,,
2005,29472247844,,,
2006,32698954966,,,
2007,36123652816,,,
2008,38372342898,,,
2009,31063115666,,,
2010,37807359146,,,
2011,41464285552,,,
2012,41653103770,,,
2013,41520277454,,,
2014,42795202354,,,
2015,40026537166,,,
2016,38401605928,,,
2017,41384711222,,,
2018,45361948754,,,
2019,44371455962,,,
2020,40154059634,,,
2021 through July,26452686246,,,
Mississippi,3.29E+11,,,
2002,6129730596,,,
2003,5103103284,,,
2004,6357383944,,,
2005,8041632536,,,
2006,8968547450,,,
2007,10368841506,,,
